trial_index,time_elapsed,subject_id,rt,response,position_of_items,colors_of_items,color_of_target,wheel_spin,response_angle,physical_response_angle,reported_color_angle,reported_color_discrete,which_test,set_size,wheel_num_options,actual_mask_duration,actual_stim_duration,CMDispTime,maskArray,maskRotation,item_positions,task,randomSpinAmount,subNo,targetLocation,targetLocationDeg,colorCorrected,distance,colorUnCorrected,distance1,distance2
130,580412,"558943fafdf99b5ccd435cb3",2028,"","[1,2,6,3,5]","[330,110,196,275,38]",330,156,23.7793277046819,23.7793277046819,227.779327704682,228,0,5,0,158.314000000013,0,0,"[[[""img/mask51.png""],[""img/mask2.png""],[""img/mask49.png""],[""img/mask4.png""],[""img/mask4.png""]]]","","[1,2,6,3,5]","color",156,1,1,45,23.7793277046819,21.2206722953181,23.7793277046819,21.2206722953181,21.2206722953181
138,605170,"558943fafdf99b5ccd435cb3",4438,"","[4]","[15]",15,7,9.83158031631991,9.83158031631991,2.83158031631991,1,0,1,0,155.420000000042,0,0,"[[[""img/mask80.png""]]]","","[4]","color",7,1,4,270,369.83158031632,99.8315803163199,9.83158031631991,99.8315803163199,260.16841968368
146,631298,"558943fafdf99b5ccd435cb3",1650,"","[5,1,4]","[284,20,250]",284,203,219.222314511392,219.222314511392,16.2223145113925,17,0,3,0,153.930000000051,0,0,"[[[""img/mask15.png""],[""img/mask17.png""],[""img/mask76.png""]]]","","[5,1,4]","color",203,1,5,225,219.222314511392,5.77768548860755,219.222314511392,5.77768548860755,5.77768548860755
150,642274,"558943fafdf99b5ccd435cb3",1977,"","[0]","[278]",278,283,284.141116657956,284.141116657956,1.14111665795616,1,0,1,0,142.503999999957,0,0,"[[[""img/mask45.png""]]]","","[0]","color",283,1,0,90,-75.8588833420438,165.858883342044,284.141116657956,165.858883342044,194.141116657956
152,651874,"558943fafdf99b5ccd435cb3",6661,"","[1,2,3]","[209,53,345]",209,129,83.6119400407639,83.6119400407639,314.611940040764,311,0,3,0,144.974000000046,0,0,"[[[""img/mask84.png""],[""img/mask8.png""],[""img/mask81.png""]]]","","[1,2,3]","color",129,1,1,45,83.6119400407639,38.6119400407639,83.6119400407639,38.6119400407639,38.6119400407639
154,658540,"558943fafdf99b5ccd435cb3",3193,"","[5]","[190]",190,118,156.144361009458,156.144361009458,38.1443610094582,37,0,1,0,142.902000000002,0,0,"[[[""img/mask55.png""]]]","","[5]","color",118,1,5,225,516.144361009458,68.8556389905418,156.144361009458,291.144361009458,68.8556389905418
156,665754,"558943fafdf99b5ccd435cb3",4242,"","[0,1,6,7,4]","[154,356,19,106,206]",154,14,18.3535961067582,18.3535961067582,4.35359610675816,3,0,5,0,144.322000000044,0,0,"[[[""img/mask85.png""],[""img/mask47.png""],[""img/mask6.png""],[""img/mask98.png""],[""img/mask71.png""]]]","","[0,1,6,7,4]","color",14,1,0,90,18.3535961067582,71.6464038932418,18.3535961067582,71.6464038932418,71.6464038932418
166,693611,"558943fafdf99b5ccd435cb3",2214,"","[2,0,7]","[134,306,209]",134,18,336.405559742216,336.405559742216,318.405559742216,318,0,3,0,142.459999999963,0,0,"[[[""img/mask71.png""],[""img/mask55.png""],[""img/mask87.png""]]]","","[2,0,7]","color",18,1,2,0,-23.5944402577837,23.5944402577837,336.405559742216,23.5944402577837,336.405559742216
168,699298,"558943fafdf99b5ccd435cb3",2736,"","[7,4,6]","[121,312,69]",121,318,99.3887366523144,99.3887366523144,141.388736652314,138,0,3,0,144.920000000042,0,0,"[[[""img/mask19.png""],[""img/mask60.png""],[""img/mask4.png""]]]","","[7,4,6]","color",318,1,7,135,99.3887366523144,35.6112633476856,99.3887366523144,35.6112633476856,35.6112633476856
176,725154,"558943fafdf99b5ccd435cb3",2194,"","[3]","[182]",182,132,236.425115265557,236.425115265557,104.425115265557,104,0,1,0,157.863999999943,0,0,"[[[""img/mask58.png""]]]","","[3]","color",132,1,3,315,236.425115265557,78.5748847344425,236.425115265557,78.5748847344425,78.5748847344425
182,747098,"558943fafdf99b5ccd435cb3",2056,"","[4]","[292]",292,345,217.811049323206,217.811049323206,232.811049323206,232,0,1,0,153.314000000013,0,0,"[[[""img/mask48.png""]]]","","[4]","color",345,1,4,270,217.811049323206,52.1889506767938,217.811049323206,52.1889506767938,52.1889506767938
